Day,"""Hurricane Harvey"": (United States)","""Hurricane Irma"": (United States)","""Hurricane Maria"": (United States)","""Hurricane Jose"": (United States)"
8/20/17,0,0,0,0
8/21/17,0,0,0,0
8/22/17,0,0,0,0
8/23/17,1,0,0,0
8/24/17,9,0,0,0
8/25/17,29,0,0,0
8/26/17,44,0,0,0
8/27/17,18,0,0,0
8/28/17,17,0,0,0
8/29/17,16,0,0,0
8/30/17,13,0,0,0
8/31/17,10,5,0,0
9/1/17,7,14,0,0
9/2/17,5,13,0,0
9/3/17,4,24,0,0
9/4/17,3,35,0,0
9/5/17,4,70,0,1
9/6/17,4,97,0,3
9/7/17,3,86,0,4
9/8/17,2,79,0,6
9/9/17,2,90,0,8
9/10/17,2,100,0,10
9/11/17,1,54,0,13
9/12/17,1,13,0,9
9/13/17,1,6,0,6
9/14/17,1,4,0,4
9/15/17,1,3,0,4
9/16/17,0,2,1,4
9/17/17,0,2,5,3
9/18/17,1,2,11,4
9/19/17,1,2,21,4
9/20/17,1,1,19,2
9/21/17,1,1,11,1
9/22/17,0,1,6,0
9/23/17,0,1,4,0
9/24/17,0,1,4,0
9/25/17,0,1,3,0
