Date,"title:""Puerto Rico""","title:""Puerto Rico"" AND (title:Trump OR title:President)",title:Florida,title:Florida AND (title:Trump OR title:President),title:Texas,title:Texas AND (title:Trump OR title:President)
8/20/17,0,0,18,2,12,0
8/21/17,1,0,41,0,79,0
8/22/17,0,0,30,0,39,0
8/23/17,1,0,39,0,83,6
8/24/17,8,0,75,1,143,3
8/25/17,2,0,28,0,218,11
8/26/17,0,0,13,0,212,3
8/27/17,0,0,13,0,223,38
8/28/17,6,0,40,1,289,41
8/29/17,1,0,38,3,378,133
8/30/17,0,0,41,0,316,22
8/31/17,2,0,29,0,300,15
9/1/17,0,0,37,1,167,17
9/2/17,0,0,58,0,161,51
9/3/17,0,0,37,0,107,2
9/4/17,8,0,37,0,71,1
9/5/17,23,2,120,3,88,2
9/6/17,55,0,157,2,62,3
9/7/17,44,0,231,7,91,5
9/8/17,2,0,294,4,64,1
9/9/17,3,0,266,3,37,4
9/10/17,6,1,332,21,38,0
9/11/17,1,0,298,0,93,24
9/12/17,1,0,217,4,59,0
9/13/17,1,0,208,7,48,6
9/14/17,2,0,168,59,49,1
9/15/17,0,0,70,3,54,1
9/16/17,0,0,67,0,38,0
9/17/17,0,0,29,0,35,0
9/18/17,36,0,40,1,26,3
9/19/17,86,0,49,2,50,2
9/20/17,204,0,39,1,33,3
9/21/17,167,4,49,0,56,3
9/22/17,175,0,29,4,51,3
9/23/17,77,4,22,0,40,3
9/24/17,73,2,14,1,17,1
9/25/17,177,34,33,2,30,3
9/26/17,308,113,50,0,57,9
9/27/17,276,47,33,0,52,0
9/28/17,300,86,31,0,41,2
9/29/17,273,78,28,0,57,1
9/30/17,157,56,37,0,18,0
10/1/17,148,73,17,1,18,0
10/2/17,105,30,20,2,27,0
10/3/17,296,174,24,2,41,3
10/4/17,154,65,27,0,49,4
10/5/17,87,12,41,1,52,5
10/6/17,161,20,35,0,46,1
10/7/17,49,10,29,0,19,0
10/8/17,36,13,13,0,17,1
10/9/17,72,6,27,0,65,1
